path	bytes	sha256	public_disposition
apply_uk_portable_provenance_locators_v001.py	7468	8D4BC0C1D7F5A95D3EAD870B372A8A7E617DE84BB0D99E52C2517E199C3636C5	canonical_source_hash_only_private_custody_paths_not_published
audit_uk_release_v001_edit0016.py	18273	01163EDBA6FFAC737D95290C4C3C627AAB675901604187F717C8E873B40909FF	canonical_source_hash_only_private_custody_paths_not_published
build_uk_edit0015_crosshead_reference.py	7595	41A96C87D8AB381B888E6EEFAEDFAC8038B6201D41893101D25B97941D5B6B68	canonical_source_hash_only_private_custody_paths_not_published
build_uk_release_v001_edit0016.py	10796	034D535B4A1DA703EA19E4726D6DDCA9CE5677B93202A454D78342EFBA98D051	portable_executable_in_archive
