name	bytes	sha256
00_NOETHER_UKRAINIAN_COMPLETE_LINKED_READER.pdf	3294694	D066EB19A24775458292AB68D0C5FE70102D44D79CCCD53291C00FFA338FAD85
01_NOETHER_UKRAINIAN_EDITABLE_SOURCES.zip	637703	44905BBF368100543EEF560743A1DB980B0E4BD26393A2689F31D5A90038708A
02_NOETHER_UKRAINIAN_EVIDENCE_AND_PROVENANCE.zip	8442103	44B3E03720D8BF493973B9306678E9A672C65C7CA2FDDE34EC66495C26949227
03_NOETHER_UKRAINIAN_SHA256_MANIFEST.txt	363	A42C91E343E844971E8926CFA8F4340C97959294BDC3178E473B438ABB0E3F8E
